Length (words),Length (characters),Stopwords,Pronouns,Starts with number?,Class
6,39,0,2,0,1
16,84,0,3,0,1
6,45,1,1,0,1
7,38,0,0,1,1
7,37,0,2,0,1
10,71,0,1,0,1
3,15,0,0,1,1
7,45,0,2,0,1
12,65,0,3,0,1
8,53,0,1,1,1
13,67,0,2,0,1
8,49,1,2,0,1
7,39,0,1,0,1
3,34,0,0,1,1
7,45,0,3,0,1
8,53,0,1,0,1
5,24,1,1,0,1
5,28,1,1,0,1
4,25,0,2,0,1
3,24,0,1,0,1
6,45,2,0,0,1
8,49,0,2,0,1
8,47,2,0,0,1
6,44,0,2,0,1
9,67,0,1,0,1
5,32,0,1,0,0
8,57,0,0,0,0
11,81,0,0,1,0
10,72,0,1,0,0
10,65,0,0,0,0
8,55,0,0,0,0
6,47,0,0,0,0
6,44,0,0,0,0
8,78,0,0,0,0
6,51,0,0,0,0
9,50,0,1,0,0
9,52,0,0,0,0
7,37,0,1,0,0
10,72,0,1,0,0
12,64,0,0,0,0
11,67,0,0,0,0
6,45,0,0,0,0
8,69,0,0,0,0
10,81,0,0,0,0
11,77,0,0,0,0
7,59,0,0,0,0
7,47,0,0,0,0
11,70,0,0,0,0
